M2,s0_root,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV,theta_deg
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4275102010969727,-0.11655831206145592,38.41737740017394,4.215864682747188,38.400000000000006
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4279144609954829,-0.11506531285984975,38.490067820344535,4.108554090139257,38.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.42831350689132747,-0.11357091162371874,38.56188808608224,4.002528079290991,38.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4287073339222581,-0.11207512656187044,38.63283469696864,3.897791817760588,39.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.42909593728961665,-0.11057797589997367,38.70290419516598,3.7943504102456638,39.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.42947931225839375,-0.1090794778803369,38.77209316558579,3.6922088983344943,39.400000000000006
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4298574541572864,-0.10757965076168549,38.84039823605526,3.591372260260266,39.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43023035837875484,-0.10607851281893974,38.90781607748162,3.4918454106584673,39.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43059802037907885,-0.10457608234299154,38.97434340401439,3.3936332003273244,40.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43096043567841313,-0.10307237764048213,39.039976973205555,3.2967404159914135,40.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4313175998608414,-0.10156741703357891,39.104713586167506,3.201171780068356,40.400000000000006
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43166950857443087,-0.10006121885975194,39.16855008772907,3.1069319504386415,40.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43201615753128497,-0.0985538014715504,39.231483366589245,3.0140255202185973,40.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4323575425075955,-0.0970451832363797,39.29351035546877,2.922457017536575,41.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4326936593436944,-0.0955353825362768,39.35462803125975,2.832230905312205,41.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43302450394410397,-0.09402441776768686,39.414833415172865,2.7433515810389104,41.400000000000006
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43335007227758715,-0.09251230734123872,39.47412357288265,2.6558233765695665,41.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43367036037719653,-0.09099906968152083,39.532495614670445,2.5696505579053786,41.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4339853643403228,-0.08948472322685624,39.58994669556532,2.484837324987943,42.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4342950803287421,-0.08796928642907886,39.646474015482625,2.40138781149459,42.2
